freq nodes cores pkg-clamp-0 pkg-clamp-1 dram-clamp-0 dram-clamp-1 avg-time avg-pkg-0 avg-pp0-0 avg-dram-0 avg-pkg-1 avg-pp0-1 avg-dram-1 tot-pkg-0 tot-pp0-0 tot-dram-0 tot-pkg-1 tot-pp0-1 tot-dram-1
 2600.000 16 64 65.000000 65.000000 0.000000 0.000000 47.9853584375 36.9609289375 23.0178925 8.385918375 36.4086568125 22.460954625 8.712662875 591.374863 368.28628 134.174694 582.538509 359.375274 139.402606 
 2600.000 32 128 51.000000 51.000000 0.000000 0.000000 47.8572353125 36.9008784375 22.9646075 8.33539775 36.4252115625 22.4772365 8.8220738125 590.414055 367.43372 133.366364 582.803385 359.635784 141.153181 
 2600.000 32 256 65.000000 65.000000 0.000000 0.000000 49.13861325 64.6011375625 49.0023130625 15.1231701875 64.591845875 49.0174651875 15.1551245625 1033.618201 784.037009 241.970723 1033.469534 784.279443 242.481993 
 2600.000 32 512 95.000000 95.000000 0.000000 0.000000 59.7791983125 74.6399645625 58.8030288125 15.4623275625 73.70023025 57.9349784375 15.599709625 1194.239433 940.848461 247.397241 1179.203684 926.959655 249.595354 
 2600.000 32 128 80.000000 80.000000 0.000000 0.000000 19.1922373828125 71.89029228125 57.172391078125 10.4520920546875 71.393206390625 56.6135537734375 10.8275860859375 9201.957412 7318.066058 1337.867783 9138.330418 7246.534883 1385.931019 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 147.36298525 37.2304025 23.17998225 9.040448 36.403074 22.41619325 8.976805 148.92161 92.719929 36.161792 145.612296 89.664773 35.90722 
 2600.000 32 256 80.000000 80.000000 0.000000 0.000000 19.2431871484375 71.877645484375 57.161551484375 10.4462761328125 71.3955851328125 56.620410015625 10.8127590546875 9200.338622 7316.67859 1337.123345 9138.634897 7247.412482 1384.033159 
 2600.000 16 256 95.000000 95.000000 0.000000 0.000000 47.81583 37.0280616875 23.08097775 8.315167125 36.4548015625 22.498111 8.7613081875 592.448987 369.295644 133.042674 583.276825 359.969776 140.180931 
 2600.000 32 512 51.000000 51.000000 0.000000 0.000000 25.42651440625 36.3874354375 22.52794175 8.11487740625 36.10623925 22.1945445625 8.3489926875 1164.397934 720.894136 259.676077 1155.399656 710.225426 267.167766 
 2600.000 32 128 80.000000 80.000000 0.000000 0.000000 64.58104925 49.48194525 34.7755115 11.7275575 48.89788675 34.188851875 11.794214875 395.855562 278.204092 93.82046 391.183094 273.510815 94.353719 
 2600.000 16 64 51.000000 51.000000 0.000000 0.000000 58.49815725 36.87788975 22.849066 9.055805 36.493632375 22.50991675 9.08879925 295.023118 182.792528 72.44644 291.949059 180.079334 72.710394 
 2600.000 32 256 51.000000 51.000000 0.000000 0.000000 43.888631875 50.73270659375 35.61737546875 13.30129659375 50.7316081875 35.605970125 13.39751828125 1623.446611 1139.756015 425.641491 1623.411462 1139.391044 428.720585 
 2600.000 32 512 65.000000 65.000000 0.000000 0.000000 23.974670859375 47.768578671875 33.620227796875 9.05037634375 47.44872846875 33.21045459375 9.435730734375 3057.189035 2151.694579 579.224086 3036.718622 2125.469094 603.886767 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 148.1878505 37.2462685 23.22471 7.754017 36.62713175 22.673651 8.194742 148.985074 92.89884 31.016068 146.508527 90.694604 32.778968 
 2600.000 32 128 95.000000 95.000000 0.000000 0.000000 29.289826765625 72.322935125 57.36469 11.9627585 71.616917390625 56.617458609375 12.30809246875 4628.667848 3671.34016 765.616544 4583.482713 3623.517351 787.717918 
 2600.000 16 256 95.000000 95.000000 0.000000 0.000000 28.09293990625 73.1218964375 57.60378515625 14.2726263125 72.6498453125 57.150249875 14.47243571875 2339.900686 1843.321125 456.724042 2324.79505 1828.807996 463.117943 
 2600.000 32 256 65.000000 65.000000 0.000000 0.000000 47.8421314375 36.9433228125 23.0007293125 8.3480973125 36.43944925 22.4957973125 8.7157585 591.093165 368.011669 133.569557 583.031188 359.932757 139.452136 
 2600.000 16 64 65.000000 65.000000 0.000000 0.000000 29.87280090625 64.50973228125 49.14285259375 13.8530864375 64.50049584375 49.1436895625 14.0055434375 2064.311433 1572.571283 443.298766 2064.015867 1572.598066 448.17739 
 2600.000 32 512 65.000000 65.000000 0.000000 0.000000 47.8875774375 36.9457493125 23.0082805625 8.3628820625 36.41898475 22.4829326875 8.73546475 591.131989 368.132489 133.806113 582.703756 359.726923 139.767436 
 2600.000 32 128 95.000000 95.000000 0.000000 0.000000 29.58032171875 72.301576859375 57.360296 11.898766609375 71.59657428125 56.614749515625 12.2353075 4627.300919 3671.058944 761.521063 4582.180754 3623.343969 783.05968 
 2600.000 32 256 95.000000 95.000000 0.000000 0.000000 19.31842534375 71.9309488359375 57.2247164453125 10.41035621875 71.4466451953125 56.6786271640625 10.773569 9207.161451 7324.763705 1332.525596 9145.170585 7254.864277 1379.016832 
 2600.000 16 128 80.000000 80.000000 0.000000 0.000000 59.2271830625 74.6916938125 58.82571875 15.564037375 73.7200160625 57.9320248125 15.6827020625 1195.067101 941.2115 249.024598 1179.520257 926.912397 250.923233 
 2600.000 32 512 65.000000 65.000000 0.000000 0.000000 38.88084946875 64.573427375 49.19670615625 14.0701401875 64.56713809375 49.18447184375 14.193070125 2066.349676 1574.294597 450.244486 2066.148419 1573.903099 454.178244 
 2600.000 16 256 65.000000 65.000000 0.000000 0.000000 147.74580775 37.21628975 23.167739 9.0374945 36.341159 22.35301075 8.93643825 148.865159 92.670956 36.149978 145.364636 89.412043 35.745753 
