ts_0 elapsed_0 pkg_0 pp0_0 dram_0 ts_1 elapsed_1 pkg_1 pp0_1 dram_1 
1335562134.797997 0.010000 17.163102 3.837589 1.602174 1335562134.798054 0.009998 25.267295 12.033862 1.600954 
1335562134.807997 0.010000 16.854874 3.549198 1.809694 1335562134.808054 0.010000 25.268579 12.025463 1.602174 
1335562134.818004 0.010007 16.856952 3.526923 2.159154 1335562134.818064 0.010010 25.252447 12.024104 1.600572 
1335562134.828004 0.010000 17.175309 3.843693 1.445009 1335562134.828062 0.009998 25.265768 12.030810 1.602480 
1335562134.838004 0.010000 17.169206 3.842167 1.617433 1335562134.838061 0.009999 25.278619 12.043396 1.600801 
1335562134.847997 0.009993 16.903183 3.557761 1.609391 1335562134.848055 0.009994 25.311131 12.049430 1.603130 
1335562134.857990 0.009993 16.860428 3.527222 1.610918 1335562134.858050 0.009995 25.284290 12.048280 1.599924 
1335562134.867997 0.010007 17.134471 3.831888 1.585819 1335562134.868054 0.010004 25.250715 12.019066 1.600000 
1335562134.878004 0.010007 16.846278 3.523873 2.262842 1335562134.878062 0.010008 25.229816 12.015723 1.597827 
1335562134.888004 0.010000 16.841142 3.521732 1.599123 1335562134.888061 0.009999 25.275567 12.023558 1.599275 
1335562134.898004 0.010000 16.841142 3.520206 1.614381 1335562134.898062 0.010001 25.246335 12.024316 1.598970 
1335562134.907997 0.009993 17.162762 3.840244 1.610918 1335562134.908052 0.009990 25.335147 12.071120 1.600726 
1335562134.917997 0.010000 16.860978 3.524784 1.611330 1335562134.918055 0.010003 25.230241 12.004958 1.598627 
1335562134.927990 0.009993 17.196354 3.864675 1.592594 1335562134.928045 0.009990 22.793537 10.861411 1.441875 
1335562134.937997 0.010007 15.162870 3.170113 1.761174 1335562134.938055 0.010010 25.249399 12.022579 1.763678 
1335562134.947988 0.009991 17.146593 3.812051 2.161079 1335562134.948047 0.009992 25.341001 12.085614 1.438545 
1335562134.957997 0.010009 17.551559 4.250304 1.599200 1335562134.958054 0.010007 25.231297 11.994282 1.599543 
1335562134.968004 0.010007 17.172591 3.850186 1.614791 1335562134.968059 0.010005 25.246783 12.008769 1.599847 
1335562134.977993 0.009989 17.461489 4.130511 1.610044 1335562134.978048 0.009989 25.274936 12.017280 1.448123 
1335562134.987997 0.010004 16.873975 3.559962 1.610677 1335562134.988051 0.010003 25.237868 12.006483 1.601678 
1335562134.997997 0.010000 17.471330 4.150395 1.586916 1335562134.998055 0.010004 25.253765 12.025167 1.601525 
1335562135.008004 0.010007 16.876775 3.558944 2.378729 1335562135.008061 0.010006 25.261151 12.030499 1.599695 
1335562135.018004 0.010000 16.827409 3.518680 1.603700 1335562135.018059 0.009998 25.297818 12.047597 1.602480 
1335562135.028004 0.010000 16.848771 3.523258 1.452638 1335562135.028061 0.010002 25.280542 12.033849 1.443208 
1335562135.037997 0.009993 16.866536 3.530276 1.618552 1335562135.038054 0.009993 25.302858 12.061268 1.603283 
1335562135.047988 0.009991 16.848777 3.515762 1.609736 1335562135.048043 0.009989 25.601833 12.344177 1.599351 
1335562135.057997 0.010009 16.831995 3.521593 1.590053 1335562135.058055 0.010012 25.232396 12.006573 1.597219 
1335562135.067990 0.009993 16.851267 3.524169 2.375913 1335562135.068047 0.009992 25.305877 12.067289 1.598893 
1335562135.078004 0.010014 17.125280 3.832198 2.052474 1335562135.078061 0.010014 25.249845 12.037522 1.598400 
1335562135.088004 0.010000 16.853349 3.526310 1.609804 1335562135.088059 0.009998 25.288661 12.036914 1.600954 
1335562135.097997 0.009993 16.852794 3.524169 1.612445 1335562135.098054 0.009995 25.298030 12.043700 1.601450 
1335562135.107997 0.010000 16.867082 3.532413 1.611330 1335562135.108057 0.010003 25.268376 12.029364 1.598627 
1335562135.117997 0.010000 16.836564 3.518680 1.600648 1335562135.118058 0.010001 22.762438 10.844923 1.440294 
