freq nodes cores pkg-clamp-0 pkg-clamp-1 dram-clamp-0 dram-clamp-1 avg-time avg-pkg-0 avg-pp0-0 avg-dram-0 avg-pkg-1 avg-pp0-1 avg-dram-1 tot-pkg-0 tot-pp0-0 tot-dram-0 tot-pkg-1 tot-pp0-1 tot-dram-1
 2600.000 16 64 80.000000 80.000000 0.000000 0.000000 9.96339634375 43.6560935 30.42222434375 5.322930875 43.3084838125 30.1165628125 2.21850990625 1396.994992 973.511179 170.333788 1385.871482 963.73001 70.992317 
 2600.000 16 128 51.000000 51.000000 0.000000 0.000000 3.3477146875 48.8803928984375 35.6720398203125 4.9918841484375 48.873325453125 35.705117484375 2.20217146875 6256.690291 4566.021097 638.961171 6255.785658 4570.255038 281.877948 
 2600.000 16 256 80.000000 80.000000 0.000000 0.000000 79.0381255 33.599996 20.34917925 6.11091725 33.382729 20.20690625 3.1462375 134.399984 81.396717 24.443669 133.530916 80.827625 12.58495 
 2600.000 16 64 95.000000 95.000000 0.000000 0.000000 10.16273046875 65.5146319375 52.2825945625 5.1735271875 64.62064765625 51.4341884375 1.98574178125 2096.468222 1673.043026 165.55287 2067.860725 1645.89403 63.543737 
 2600.000 16 128 51.000000 51.000000 0.000000 0.000000 10.0125989375 43.555322375 30.32173428125 5.330706625 43.17520875 29.9818031875 2.47054021875 1393.770316 970.295497 170.582612 1381.60668 959.417702 79.057287 
 2600.000 16 256 95.000000 95.000000 0.000000 0.000000 78.95442275 33.5480505 20.302492 6.0929595 33.34409075 20.16598775 3.020188 134.192202 81.209968 24.371838 133.376363 80.663951 12.080752 
 2600.000 16 64 95.000000 95.000000 0.000000 0.000000 19.8160256875 33.8192426875 20.5564225 5.2413314375 33.366217125 20.1810450625 2.2350298125 541.107883 328.90276 83.861303 533.859474 322.896721 35.760477 
 2600.000 16 128 51.000000 51.000000 0.000000 0.000000 39.71337075 43.6960975 30.464639875 6.04719925 43.61968775 30.44282875 2.955830125 349.56878 243.717119 48.377594 348.957502 243.54263 23.646641 
 2600.000 16 256 65.000000 65.000000 0.000000 0.000000 10.18118953125 43.64167159375 30.4081056875 5.31786946875 43.28974575 30.09806021875 2.47142484375 1396.533491 973.059382 170.171823 1385.271864 963.137927 79.085595 
 2600.000 16 64 95.000000 95.000000 0.000000 0.000000 5.06388553125 64.9208346875 51.683209203125 5.135175796875 64.345713921875 51.1500813125 2.13680203125 4154.93342 3307.725389 328.651251 4118.125691 3273.605204 136.75533 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 5.02110475 43.28656359375 30.087631546875 5.0518210625 43.00292834375 29.828278484375 2.47285678125 2770.34007 1925.608419 323.316548 2752.187414 1909.009823 158.262834 
 2600.000 16 256 95.000000 95.000000 0.000000 0.000000 9.940856125 43.6947141875 30.4614773125 5.31219425 43.35762009375 30.16542865625 2.2534451875 1398.230854 974.767274 169.990216 1387.443843 965.293717 72.110246 
 2600.000 16 64 95.000000 95.000000 0.000000 0.000000 19.7932350625 43.8161805 30.5911051875 5.390440125 43.2642069375 30.0785381875 2.1432536875 701.058888 489.457683 86.247042 692.227311 481.256611 34.292059 
 2600.000 16 128 65.000000 65.000000 0.000000 0.000000 10.6542976875 63.984053 50.7536028125 5.14058175 63.804048125 50.61877621875 2.0739365625 2047.489696 1624.11529 164.498616 2041.72954 1619.800839 66.36597 
 2600.000 16 256 65.000000 65.000000 0.000000 0.000000 20.06555875 43.7863036875 30.56043475 5.3766585625 43.213820875 30.0264375625 2.1467256875 700.580859 488.966956 86.026537 691.421134 480.423001 34.347611 
 2600.000 16 64 80.000000 80.000000 0.000000 0.000000 20.0842268125 43.838431375 30.613178125 5.370595 43.25451075 30.0668530625 2.183076 701.414902 489.81085 85.92952 692.072172 481.069649 34.929216 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 20.047869625 65.796634875 52.539475 5.6508265 65.713870875 52.5106415 2.3334335 1052.746158 840.6316 90.413224 1051.421934 840.170264 37.334936 
 2600.000 16 256 80.000000 80.000000 0.000000 0.000000 2.767946921875 63.54467075 50.333042109375 4.9537181484375 63.1960489765625 50.0222056171875 2.212239515625 8133.717856 6442.62939 634.075923 8089.094269 6402.842319 283.166658 
 2600.000 16 64 65.000000 65.000000 0.000000 0.000000 9.96717709375 43.6176666875 30.3838109375 5.33700165625 43.26407334375 30.07197515625 2.4867766875 1395.765334 972.28195 170.784053 1384.450347 962.303205 79.576854 
 2600.000 16 128 51.000000 51.000000 0.000000 0.000000 79.1470065 33.595035 20.3488075 6.0453735 33.420434 20.24283825 3.0953765 134.38014 81.39523 24.181494 133.681736 80.971353 12.381506 
 2600.000 16 256 65.000000 65.000000 0.000000 0.000000 9.962335125 33.4633501875 20.24527734375 5.04366753125 33.13013875 19.95039353125 2.2528675625 1070.827206 647.848875 161.397361 1060.16444 638.412593 72.091762 
 2600.000 16 64 65.000000 65.000000 0.000000 0.000000 9.96434609375 43.6202449375 30.38682278125 5.2987228125 43.25205078125 30.0588089375 2.44893384375 1395.847838 972.378329 169.55913 1384.065625 961.881886 78.365883 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 9.93340653125 33.52923671875 20.3125519375 5.0367348125 33.194137125 20.01648796875 2.3180866875 1072.935575 650.001662 161.175514 1062.212388 640.527615 74.178774 
 2600.000 16 256 80.000000 80.000000 0.000000 0.000000 79.1293095 33.5103295 20.25972475 6.10748975 33.325381 20.14734425 2.795233 134.041318 81.038899 24.429959 133.301524 80.589377 11.180932 
 2600.000 16 64 80.000000 80.000000 0.000000 0.000000 20.03261575 65.74595925 52.4888505625 5.6406546875 65.6848985 52.48207325 2.2773744375 1051.935348 839.821609 90.250475 1050.958376 839.713172 36.437991 
 2600.000 16 128 65.000000 65.000000 0.000000 0.000000 79.0326375 33.60973825 20.364079 5.98292925 33.366177 20.18990525 3.012992 134.438953 81.456316 23.931717 133.464708 80.759621 12.051968 
 2600.000 16 256 51.000000 51.000000 0.000000 0.000000 79.22166875 33.39063325 20.17900625 6.0758295 33.34250625 20.1706055 3.125501 133.562533 80.716025 24.303318 133.370025 80.682422 12.502004 
 2600.000 16 64 65.000000 65.000000 0.000000 0.000000 5.065231984375 43.03281584375 29.8348709375 5.057984640625 42.766038328125 29.591399796875 2.414066515625 2754.100214 1909.43174 323.711017 2737.026453 1893.849587 154.500257 
 2600.000 16 128 95.000000 95.000000 0.000000 0.000000 39.71391125 43.815975375 30.581522125 6.11296625 43.66084025 30.4816865 2.939958875 350.527803 244.652177 48.90373 349.286722 243.853492 23.519671 
 2600.000 16 256 51.000000 51.000000 0.000000 0.000000 12.61009303125 50.437806125 37.21415553125 5.150628125 50.4368149375 37.2644328125 2.07181628125 1614.009796 1190.852977 164.8201 1613.978078 1192.46185 66.298121 
